Lemon,Tomatoes,Capsicum,,,,,,,,,
Transformer,Helicopter,RCcar,,,,,,,,,
Capsicum,Orange,Grapes,Watermelon,Transformer,,,,,,,
Watermelon,Transformer,Helicopter,RCcar,Mobiles,,,,,,,
Tomatoes,Capsicum,Orange,Grapes,,,,,,,,
Orange,Grapes,Watermelon,Transformer,,,,,,,,
RCcar,Mobiles,MusicSystem,PlayStation,,,,,,,,
Grapes,Watermelon,Transformer,Helicopter,,,,,,,,
Tomatoes,Grapes,Helicopter,MusicSystem,,,,,,,,
Helicopter,MusicSystem,PlayStation,,,,,,,,,
Lemon,Tomatoes,Capsicum,Orange,Grapes,Helicopter,MusicSystem,,,,,
Grapes,Watermelon,Transformer,Helicopter,RCcar,Mobiles,,,,,,
Tomatoes,Capsicum,Grapes,Watermelon,Transformer,,,,,,,
Lemon,Tomatoes,Capsicum,Orange,Grapes,Watermelon,Transformer,Helicopter,RCcar,Mobiles,MusicSystem,PlayStation
Tomatoes,Grapes,Helicopter,MusicSystem,,,,,,,,
Capsicum,Grapes,Watermelon,Transformer,Helicopter,RCcar,Mobiles,MusicSystem,PlayStation,,,
Lemon,Capsicum,Grapes,Watermelon,Transformer,Helicopter,RCcar,Mobiles,,,,
Capsicum,Watermelon,Transformer,Helicopter,RCcar,Mobiles,MusicSystem,PlayStation,,,,
Lemon,Tomatoes,Capsicum,Orange,Grapes,,,,,,,
Grapes,Watermelon,Transformer,Helicopter,RCcar,Mobiles,MusicSystem,PlayStation,,,,
Lemon,Capsicum,Grapes,Watermelon,Transformer,Helicopter,RCcar,Mobiles,MusicSystem,PlayStation,,
Orange,Grapes,Watermelon,Transformer,,,,,,,,
Grapes,Watermelon,Transformer,Helicopter,RCcar,Mobiles,,,,,,
Tomatoes,Capsicum,Grapes,Watermelon,Transformer,,,,,,,
Lemon,Tomatoes,Capsicum,Orange,Grapes,Watermelon,Transformer,Helicopter,RCcar,Mobiles,MusicSystem,PlayStation
Tomatoes,Grapes,Helicopter,MusicSystem,,,,,,,,
Capsicum,Grapes,Watermelon,Transformer,Helicopter,RCcar,,,,,,
